island,site,date,type,number,result,ground
rota,grvp,16-Jul-13,native,129,unpredated,n
rota,grvp,16-Jul-13,native,130,unpredated,n
rota,grvp,16-Jul-13,native,131,unpredated,n
rota,grvp,16-Jul-13,native,132,unpredated,n
rota,grvp,16-Jul-13,native,133,unpredated,n
rota,grvp,16-Jul-13,native,134,predated,n
rota,grvp,16-Jul-13,native,135,unpredated,n
rota,grvp,16-Jul-13,native,136,unpredated,n
rota,grvp,16-Jul-13,native,137,unpredated,n
rota,grvp,16-Jul-13,native,138,unpredated,n
rota,grvp,16-Jul-13,native,139,unpredated,n
rota,grvp,16-Jul-13,native,140,predated,n
rota,grvp,16-Jul-13,native,141,unpredated,n
rota,grvp,16-Jul-13,native,142,unpredated,n
rota,grvp,16-Jul-13,native,143,unpredated,n
rota,grvp,16-Jul-13,native,144,unpredated,n
rota,grvp,16-Jul-13,native,145,unpredated,n
rota,grvp,16-Jul-13,native,146,predated,n
rota,grvp,16-Jul-13,native,147,unpredated,n
rota,grvp,16-Jul-13,native,148,unpredated,n
rota,grvp,16-Jul-13,native,149,unpredated,n
rota,grvp,16-Jul-13,native,150,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,1,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,2,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,3,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,4,missing,n
saipan,ladtd,3-Jul-13,disturbed,5,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,6,predated,n
saipan,ladtd,3-Jul-13,disturbed,7,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,8,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,9,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,10,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,11,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,12,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,13,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,14,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,15,missing,n
saipan,ladtd,3-Jul-13,disturbed,16,predated,n
saipan,ladtd,3-Jul-13,disturbed,17,missing,n
saipan,ladtd,3-Jul-13,disturbed,18,predated,n
saipan,ladtd,3-Jul-13,disturbed,19,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,20,missing,n
saipan,ladtd,3-Jul-13,disturbed,21,predated,n
saipan,ladtd,3-Jul-13,disturbed,22,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,24,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,26,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,27,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,28,missing,n
saipan,ladtd,3-Jul-13,disturbed,29,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,30,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,31,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,32,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,33,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,34,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,35,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,36,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,37,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,38,missing,n
saipan,ladtd,3-Jul-13,disturbed,39,missing,n
saipan,ladtd,3-Jul-13,disturbed,40,predated,n
saipan,ladtd,3-Jul-13,disturbed,41,predated,n
saipan,ladtd,3-Jul-13,disturbed,42,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,43,predated,n
saipan,ladtd,3-Jul-13,disturbed,44,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,45,predated,n
saipan,ladtd,3-Jul-13,disturbed,46,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,47,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,48,predated,n
saipan,ladtd,3-Jul-13,disturbed,49,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,50,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,51,predated,n
saipan,ladtd,3-Jul-13,disturbed,52,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,53,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,54,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,55,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,56,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,57,predated,n
saipan,ladtd,3-Jul-13,disturbed,58,missing,n
saipan,ladtd,3-Jul-13,disturbed,59,missing,n
saipan,ladtd,3-Jul-13,disturbed,60,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,61,predated,n
saipan,ladtd,3-Jul-13,disturbed,62,predated,n
saipan,ladtd,3-Jul-13,disturbed,63,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,64,predated,n
saipan,ladtd,3-Jul-13,disturbed,65,missing,n
saipan,ladtd,3-Jul-13,disturbed,66,missing,n
saipan,ladtd,3-Jul-13,disturbed,67,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,68,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,69,unpredated,n
saipan,ladtd,3-Jul-13,disturbed,70,unpredated,n
