island,site,date,type,number,result,ground
rota,calvo,18-Jul-13,disturbed,47,0,n
rota,calvo,18-Jul-13,disturbed,48,0,n
rota,calvo,18-Jul-13,disturbed,49,0,n
rota,calvo,18-Jul-13,disturbed,50,0,n
rota,calvo,18-Jul-13,disturbed,51,0,n
rota,calvo,18-Jul-13,disturbed,52,0,n
rota,calvo,18-Jul-13,disturbed,53,0,n
rota,calvo,18-Jul-13,disturbed,54,0,n
rota,calvo,18-Jul-13,disturbed,55,0,n
rota,calvo,18-Jul-13,disturbed,56,0,n
rota,calvo,18-Jul-13,disturbed,57,0,n
rota,calvo,18-Jul-13,disturbed,58,0,n
rota,calvo,18-Jul-13,disturbed,59,0,n
rota,calvo,18-Jul-13,disturbed,60,0,n
rota,calvo,18-Jul-13,disturbed,62,0,n
rota,calvo,18-Jul-13,disturbed,63,0,n
rota,calvo,18-Jul-13,disturbed,64,0,n
rota,calvo,18-Jul-13,disturbed,65,0,n
rota,calvo,18-Jul-13,disturbed,66,0,n
rota,calvo,18-Jul-13,disturbed,67,0,n
rota,calvo,18-Jul-13,disturbed,69,0,n
rota,calvo,18-Jul-13,disturbed,70,0,n
rota,calvo,18-Jul-13,disturbed,72,0,n
rota,calvo,18-Jul-13,disturbed,73,0,n
rota,calvo,18-Jul-13,disturbed,74,0,n
rota,calvo,18-Jul-13,disturbed,76,0,n
rota,calvo,18-Jul-13,disturbed,78,0,n
rota,calvo,18-Jul-13,disturbed,80,0,n
rota,calvo,18-Jul-13,disturbed,82,0,n
rota,calvo,18-Jul-13,disturbed,84,0,n
rota,calvo,18-Jul-13,disturbed,85,0,n
rota,calvo,18-Jul-13,disturbed,86,0,n
rota,calvo,18-Jul-13,disturbed,87,0,n
rota,calvo,18-Jul-13,disturbed,88,0,n
rota,calvo,18-Jul-13,disturbed,89,0,n
rota,calvo,18-Jul-13,disturbed,90,0,n
rota,calvo,18-Jul-13,disturbed,91,0,n
rota,calvo,18-Jul-13,disturbed,92,0,n
rota,calvo,18-Jul-13,disturbed,93,0,n
rota,calvo,18-Jul-13,disturbed,94,0,n
rota,calvo,18-Jul-13,disturbed,95,0,n
rota,calvo,18-Jul-13,disturbed,96,0,n
rota,calvo,18-Jul-13,disturbed,97,0,n
rota,calvo,18-Jul-13,disturbed,98,0,n
rota,calvo,18-Jul-13,disturbed,99,0,n
rota,calvo,18-Jul-13,disturbed,100,0,n
rota,calvo,18-Jul-13,disturbed,101,0,n
rota,calvo,18-Jul-13,disturbed,102,0,n
rota,calvo,18-Jul-13,disturbed,103,0,n
rota,calvo,18-Jul-13,disturbed,105,0,n
rota,calvo,18-Jul-13,disturbed,106,0,y
rota,calvo,18-Jul-13,disturbed,107,0,n
rota,calvo,18-Jul-13,disturbed,108,0,n
rota,calvo,18-Jul-13,disturbed,109,0,n
rota,calvo,18-Jul-13,disturbed,110,0,n
rota,calvo,18-Jul-13,disturbed,111,0,n
rota,calvo,18-Jul-13,disturbed,112,0,y
rota,calvo,18-Jul-13,disturbed,113,0,n
rota,calvo,18-Jul-13,disturbed,114,0,n
rota,calvo,18-Jul-13,disturbed,115,0,n
rota,calvo,18-Jul-13,disturbed,117,0,n
rota,calvo,18-Jul-13,disturbed,118,0,n
rota,calvo,18-Jul-13,disturbed,119,0,n
rota,calvo,18-Jul-13,disturbed,120,0,n
rota,calvo,18-Jul-13,disturbed,121,0,n
rota,calvo,18-Jul-13,disturbed,122,0,n
rota,calvo,18-Jul-13,disturbed,123,0,n
rota,calvo,18-Jul-13,disturbed,126,0,n
rota,calvo,18-Jul-13,disturbed,127,0,n
rota,calvo,18-Jul-13,disturbed,128,0,n
rota,calvo,18-Jul-13,disturbed,129,0,n
rota,calvo,18-Jul-13,disturbed,130,0,n
rota,calvo,18-Jul-13,disturbed,131,0,n
rota,calvo,18-Jul-13,disturbed,132,0,n
rota,calvo,18-Jul-13,disturbed,134,0,n
rota,calvo,18-Jul-13,disturbed,135,0,n
rota,calvo,18-Jul-13,disturbed,137,0,n
rota,calvo,18-Jul-13,disturbed,138,0,n
rota,calvo,18-Jul-13,disturbed,139,0,n
rota,calvo,18-Jul-13,disturbed,140,0,n
rota,calvo,18-Jul-13,disturbed,141,0,n
rota,calvo,18-Jul-13,disturbed,142,0,n
rota,calvo,18-Jul-13,disturbed,145,0,n
rota,calvo,18-Jul-13,disturbed,146,0,n
