island,site,date,type,number,result,ground,predation
rota,tweksberry,17-Jul-13,disturbed,89,n,n,0
rota,tweksberry,17-Jul-13,disturbed,90,n,n,0
rota,tweksberry,17-Jul-13,disturbed,91,n,n,0
rota,tweksberry,17-Jul-13,disturbed,92,n,n,0
rota,tweksberry,17-Jul-13,disturbed,93,n,n,0
rota,tweksberry,17-Jul-13,disturbed,94,n,n,0
rota,tweksberry,17-Jul-13,disturbed,95,n,n,0
rota,tweksberry,17-Jul-13,disturbed,96,n,n,0
rota,tweksberry,17-Jul-13,disturbed,97,n,n,0
rota,tweksberry,17-Jul-13,disturbed,98,n,n,0
rota,tweksberry,17-Jul-13,disturbed,99,n,n,0
rota,tweksberry,17-Jul-13,disturbed,100,n,n,0
rota,tweksberry,17-Jul-13,disturbed,101,n,n,0
rota,tweksberry,17-Jul-13,disturbed,105,n,n,0
rota,tweksberry,17-Jul-13,disturbed,106,n,n,0
rota,tweksberry,17-Jul-13,disturbed,107,n,n,0
rota,tweksberry,17-Jul-13,disturbed,110,n,n,0
rota,tweksberry,17-Jul-13,disturbed,111,n,n,0
rota,tweksberry,17-Jul-13,disturbed,112,n,n,0
rota,tweksberry,17-Jul-13,disturbed,113,n,n,0
rota,tweksberry,17-Jul-13,disturbed,115,n,n,0
rota,tweksberry,17-Jul-13,disturbed,116,n,n,0
rota,tweksberry,17-Jul-13,disturbed,117,n,n,0
rota,tweksberry,17-Jul-13,disturbed,118,n,n,0
rota,tweksberry,17-Jul-13,disturbed,119,n,n,0
rota,tweksberry,17-Jul-13,disturbed,120,n,n,0
rota,tweksberry,17-Jul-13,disturbed,121,n,n,0
rota,tweksberry,17-Jul-13,disturbed,122,n,n,0
rota,tweksberry,17-Jul-13,disturbed,124,n,n,0
rota,tweksberry,17-Jul-13,disturbed,125,n,n,0
rota,tweksberry,17-Jul-13,disturbed,126,n,n,0
rota,tweksberry,17-Jul-13,disturbed,127,n,n,0
rota,tweksberry,17-Jul-13,disturbed,128,n,n,0
rota,tweksberry,17-Jul-13,disturbed,129,n,n,0
rota,tweksberry,17-Jul-13,disturbed,130,n,n,0
rota,tweksberry,17-Jul-13,disturbed,131,n,n,0
rota,tweksberry,17-Jul-13,disturbed,133,n,n,0
rota,tweksberry,17-Jul-13,disturbed,135,n,n,0
rota,tweksberry,17-Jul-13,disturbed,137,n,n,0
rota,tweksberry,17-Jul-13,disturbed,141,n,n,0
rota,tweksberry,17-Jul-13,disturbed,143,n,n,0
rota,tweksberry,17-Jul-13,disturbed,144,n,n,0
rota,tweksberry,17-Jul-13,disturbed,146,n,n,0
rota,tweksberry,17-Jul-13,disturbed,147,n,n,0
rota,tweksberry,17-Jul-13,disturbed,148,n,n,0
rota,tweksberry,17-Jul-13,disturbed,150,n,n,0
rota,calvo,18-Jul-13,disturbed,1,n,n,0
rota,calvo,18-Jul-13,disturbed,3,n,n,0
rota,calvo,18-Jul-13,disturbed,5,n,n,0
rota,calvo,18-Jul-13,disturbed,6,n,n,0
rota,calvo,18-Jul-13,disturbed,7,n,n,0
rota,calvo,18-Jul-13,disturbed,8,n,n,0
rota,calvo,18-Jul-13,disturbed,10,n,y,0
rota,calvo,18-Jul-13,disturbed,11,n,n,0
rota,calvo,18-Jul-13,disturbed,12,n,n,0
rota,calvo,18-Jul-13,disturbed,13,n,n,0
rota,calvo,18-Jul-13,disturbed,14,n,n,0
rota,calvo,18-Jul-13,disturbed,16,n,n,0
rota,calvo,18-Jul-13,disturbed,20,n,n,0
rota,calvo,18-Jul-13,disturbed,21,n,n,0
rota,calvo,18-Jul-13,disturbed,22,n,n,0
rota,calvo,18-Jul-13,disturbed,23,n,n,0
rota,calvo,18-Jul-13,disturbed,24,n,n,0
